"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR","y70_PCR","y30_PCR","y10_PCR","Ymod_PCR_1","Ymod_PCR_2","Ymod_PCR_3"
"1",1986,27.8769708598449,-9.12863914015507,27.5420001280555,-9.46360987194449,37.00561,18.632879115528,24.0985745462552,31.6553671734347,37.1210626041618,0.252683215978033,0.829243798520193,0.999999000972878
"2",1987,26.1692209024228,3.13516090242279,26.2971613004101,3.26310130041012,23.03406,16.9251291581059,22.390824588833,29.9476172160125,35.4133126467397,0.3108537999068,0.86945517444243,0.999999580906051
"3",1988,24.9958855236204,7.19225552362044,25.3178231881493,7.51419318814933,17.80363,15.7517937793035,21.2174892100307,28.7742818372102,34.2399772679373,0.36031611331716,0.896099850129703,0.999999792643196
"4",1989,24.2622273826719,-1.95727261732813,24.0947314854021,-2.12476851459786,26.2195,15.018135638355,20.4838310690821,28.0406236962616,33.5063191269888,0.425441569950766,0.923535148628955,0.999999916020534
"5",1990,26.781543155003,3.28931315500302,27.100120928064,3.60789092806397,23.49223,17.5374514106861,23.0031468414133,30.5599394685928,36.0256348993199,0.272659709751576,0.844341493403127,0.999999263640072
"6",1991,21.5373922701703,3.70400227017034,21.8770984820779,4.04370848207785,17.83339,12.2933005258534,17.7589959565806,25.3157885837601,30.7814840144872,0.547582825109184,0.958789444256409,0.999999984811301
"7",1992,23.441226749673,3.86237674967296,23.7246776845757,4.14582768457566,19.57885,14.1971350053561,19.6628304360832,27.2196230632627,32.6853184939899,0.445645234314547,0.930640681803132,0.999999936464038
"8",1993,18.9787292672204,-6.41170073277964,17.2585555241387,-8.13187447586134,25.39043,9.73463752290346,15.2003329536306,22.7571255808101,28.2228210115373,0.776393887979952,0.991280570102889,0.999999999679008
"9",1994,19.3555762331327,2.40284623313274,19.5706762868704,2.61794628687041,16.95273,10.1114844888158,15.577179919543,23.1339725467225,28.5996679774496,0.669820881290603,0.980140995661742,0.999999997673221
"10",1995,26.6058656829746,6.61248568297464,27.181734918927,7.18835491892701,19.99338,17.3617739386577,22.8274693693849,30.3842619965644,35.8499574272915,0.268911897640198,0.841621382420942,0.999999220746646
"11",1996,46.0998560072035,-12.1249339927964,44.2739790072775,-13.9508109927225,58.22479,36.8557642628867,42.3214596936138,49.8782523207933,55.3439477515204,0.00141089026597665,0.0854585751339137,0.992516509616507
"12",1997,66.9381695916328,5.11932959163278,72.8137086566665,10.9948686566665,61.81884,57.6940778473159,63.159773278043,70.7165659052225,76.1822613359497,1.89909345729378e-12,4.98573290287707e-08,0.0636540830112365
"13",1998,39.2117203654566,2.74362036545659,39.5028832233163,3.03478322331626,36.4681,29.9676286211397,35.4333240518668,42.9901166790463,48.4558121097735,0.0100401746989215,0.239599313220313,0.999015430277949
"14",1999,34.967579433963,-2.892910566037,34.5811024058918,-3.27938759410821,37.86049,25.7234876896461,31.1891831203733,38.7459757475527,44.2116711782799,0.0502665186577243,0.490017964578699,0.999920768021454
"15",2000,36.9059496017062,-6.65107039829375,36.5376269061747,-7.01939309382531,43.55702,27.6618578573894,33.1275532881165,40.684345915296,46.1500413460231,0.0278348769032875,0.383477243040003,0.999772619819179
"16",2001,23.3169252032864,5.76916520328636,23.8370238900817,6.28926389008167,17.54776,14.0728334589695,19.5385288896966,27.0953215168761,32.5610169476033,0.439494085090177,0.928539413634122,0.9999999308299
"17",2002,26.2922188242759,8.09188882427594,27.2985170070483,9.09818700704833,18.20033,17.048127079959,22.5138225106862,30.0706151378657,35.5363105685928,0.263594493244336,0.837675243869103,0.999999155170207
"18",2003,24.7290419202744,6.16177192027437,25.1109532121112,6.5436832121112,18.56727,15.4849501759575,20.9506456066846,28.5074382338641,33.9731336645913,0.371106347891967,0.901183834147195,0.999999821690344
"19",2004,26.4830041472616,3.32399414726157,26.8588293923713,3.69981939237131,23.15901,17.2389124029447,22.7046078336718,30.2614004608513,35.7270958915785,0.283889476316019,0.852202280790656,0.999999377584921
"20",2005,17.9866422997239,-2.01863770027611,17.7790217353016,-2.22625826469842,20.00528,8.74255055540699,14.2082459861341,21.7650386133136,27.2307340440408,0.754239275951597,0.989420690240629,0.99999999949424
"21",2006,40.2867119258168,9.52505192581675,41.8336659200023,11.0720059200023,30.76166,31.0426201814999,36.508315612227,44.0651082394065,49.5308036701337,0.00404747660220528,0.151309709853523,0.99721098669243
"22",2007,32.8067405627205,-1.51722943727952,32.7466380336977,-1.57733196630227,34.32397,23.5626488184036,29.0283442491307,36.5851368763102,42.0508323070374,0.0825889874452635,0.590715340209752,0.999972327337983
"23",2008,31.7112400757781,-3.87222992422193,31.0846026613792,-4.49886733862075,35.58347,22.4671483314612,27.9328437621883,35.4896363893678,40.955331820095,0.123560764754274,0.677199476721341,0.999989884301801
"24",2009,27.8236234126294,-6.28414658737059,27.592941517425,-6.51482848257499,34.10777,18.5795316683125,24.0452270990397,31.6020197262192,37.0677151569463,0.250430831950018,0.827444935913505,0.999998965454216
"25",2010,26.0975771421946,3.94814714219461,26.2592495951642,4.1098195951642,22.14943,16.8534853978777,22.3191808286049,29.8759734557844,35.3416688865115,0.312713310882439,0.87056734725737,0.999999592032518
"26",2011,33.1976531878771,-5.81722681212292,32.9660230872418,-6.04885691275817,39.01488,23.9535614435602,29.4192568742873,36.9760495014668,42.441744932194,0.078052967790323,0.578853164834821,0.999968515633877
"27",2012,33.9274674789497,-9.34988252105033,33.4102185944648,-9.86713140553515,43.27735,24.6833757346328,30.1490711653599,37.7058637925394,43.1715592232666,0.0694508942310246,0.554626094881251,0.999959224848992
"28",2013,32.4800057092154,-0.12429429078459,32.4752506676057,-0.129049332394324,32.6043,23.2359139648985,28.7016093956257,36.2584020228052,41.7240974535323,0.0884713114672715,0.605274020913847,0.999976439103707
"29",2014,20.748656101066,-13.805393898934,18.8109454455997,-15.7431045544003,34.55405,11.5045643567491,16.9702597874763,24.5270524146558,29.9927478453829,0.707047755996567,0.984692129171787,0.999999998772864
"30",2015,34.8308389822343,7.07415898223428,36.2663959263583,8.50971592635834,27.75668,25.5867472379174,31.0524426686445,38.609235295824,44.0749307265512,0.0303278595553809,0.39791572007286,0.999802718617025
